sku,month,price_eur,units,demand_baseline
S0001,2024-07,114.87,4.5,4.88
S0001,2024-08,114.87,4.5,4.54
S0001,2024-09,114.87,4.6,4.31
S0001,2024-10,98.89,8.0,6.13
S0001,2024-11,97.75,6.3,5.33
S0001,2024-12,105.81,2.7,2.44
S0001,2025-01,114.87,1.6,1.57
S0001,2025-02,114.87,2.7,2.85
S0001,2025-03,100.77,5.6,4.59
S0001,2025-04,105.83,4.7,4.08
S0001,2025-05,114.87,4.7,4.85
S0001,2025-06,114.87,5.0,4.57
S0001,2025-07,114.87,4.3,4.24
S0001,2025-08,114.87,3.9,3.81
S0001,2025-09,114.87,4.6,4.74
S0001,2025-10,89.46,9.2,5.72
S0001,2025-11,114.87,2.5,2.32
S0001,2025-12,114.87,4.0,3.9
S0001,2026-01,114.87,3.8,3.64
S0001,2026-02,114.87,2.6,2.39
S0001,2026-03,114.87,2.8,2.83
S0001,2026-04,87.81,9.2,5.7
S0001,2026-05,101.41,5.5,4.46
S0001,2026-06,100.98,5.1,4.45
S0002,2024-07,13.59,60.6,56.73
S0002,2024-08,13.59,69.8,69.29
S0002,2024-09,11.26,95.6,69.19
S0002,2024-10,13.59,102.3,94.94
S0002,2024-11,13.59,71.8,72.18
S0002,2024-12,13.59,63.6,67.5
S0002,2025-01,13.59,35.3,35.43
S0002,2025-02,11.78,66.4,58.25
S0002,2025-03,11.01,98.5,69.51
S0002,2025-04,13.59,64.2,63.5
S0002,2025-05,13.59,66.7,67.72
S0002,2025-06,13.59,68.0,64.46
S0002,2025-07,13.59,54.3,54.64
S0002,2025-08,13.59,57.3,56.53
S0002,2025-09,13.59,59.9,59.93
S0002,2025-10,13.59,62.7,59.11
S0002,2025-11,13.59,88.3,81.22
S0002,2025-12,11.62,75.7,63.6
S0002,2026-01,13.59,44.1,46.16
S0002,2026-02,13.59,44.4,43.53
S0002,2026-03,13.59,78.9,74.2
S0002,2026-04,10.58,111.0,72.02
S0002,2026-05,11.0,118.3,83.18
S0002,2026-06,13.59,53.1,55.32
