sku,forecast_next_month
S0001,4.32
S0002,58.3
S0003,17.33
S0004,9.91
S0005,11.24
S0006,91.36
S0007,7.21
S0008,64.91
S0009,22.45
S0010,98.07
S0011,212.97
S0012,166.01
S0013,642.09
S0014,20.17
S0015,16.55
S0016,25.15
S0017,10.38
S0018,10.12
S0019,13.77
S0020,20.98
S0021,4.26
S0022,45.55
S0023,7.94
S0024,42.89
S0025,36.34
S0026,11.12
S0027,5.47
S0028,28.06
S0029,89.12
S0030,17.16
S0031,28.69
S0032,4.59
S0033,7.03
S0034,54.38
S0035,221.11
S0036,21.44
S0037,70.32
S0038,66.1
S0039,10.21
S0040,22.04
S0041,32.11
S0042,11.66
S0043,182.58
S0044,19.25
S0045,34.23
S0046,53.5
S0047,125.98
S0048,14.64
S0049,6.89
S0050,6.16
S0051,9.63
S0052,178.57
S0053,64.76
S0054,30.67
S0055,67.94
S0056,5.45
S0057,4.13
S0058,25.31
S0059,75.35
S0060,34.74
S0061,170.82
S0062,4.16
S0063,30.72
S0064,25.79
S0065,5.04
S0066,164.42
S0067,33.95
S0068,33.58
S0069,4.11
S0070,210.48
S0071,94.77
S0072,109.04
S0073,20.37
S0074,19.72
S0075,109.57
S0076,3.75
S0077,6.85
S0078,29.84
S0079,3.55
S0080,9.1
S0081,200.44
S0082,20.66
S0083,6.88
S0084,13.87
S0085,47.89
S0086,28.0
S0087,11.8
S0088,22.43
S0089,27.0
S0090,12.88
S0091,20.13
S0092,95.87
S0093,34.07
S0094,8.64
S0095,5.28
S0096,23.95
S0097,59.7
S0098,55.32
S0099,107.66
S0100,39.19
S0101,35.89
S0102,18.92
S0103,3.35
S0104,1.8
S0105,766.35
S0106,3.41
S0107,30.04
S0108,5.56
S0109,71.64
S0110,150.61
S0111,3.68
S0112,20.73
S0113,35.18
S0114,20.96
S0115,13.41
S0116,27.78
S0117,58.1
S0118,8.76
S0119,179.83
S0120,19.22
S0121,2.52
S0122,15.62
S0123,6.21
S0124,66.9
S0125,4.29
S0126,4.24
S0127,35.77
S0128,28.11
S0129,8.35
S0130,29.48
S0131,28.72
S0132,16.79
S0133,15.62
S0134,8.83
S0135,2.24
S0136,18.11
S0137,332.67
S0138,229.28
S0139,31.9
S0140,9.62
S0141,9.02
S0142,17.46
S0143,10.05
S0144,4.53
S0145,9.63
S0146,117.83
S0147,14.51
S0148,24.31
S0149,19.34
S0150,8.24
S0151,48.01
S0152,19.48
S0153,5.74
S0154,27.18
S0155,5.06
S0156,4.68
S0157,190.45
S0158,35.69
S0159,13.31
S0160,7.26
S0161,33.81
S0162,29.98
S0163,49.68
S0164,81.43
S0165,736.32
S0166,24.61
S0167,14.18
S0168,21.88
S0169,9.27
S0170,29.66
S0171,5.41
S0172,40.42
S0173,3.3
S0174,17.29
S0175,11.4
S0176,31.68
S0177,58.0
S0178,16.63
S0179,115.51
S0180,8.16
S0181,55.77
S0182,9.26
S0183,123.64
S0184,13.18
S0185,126.64
S0186,12.17
S0187,20.16
S0188,3.64
S0189,5.78
S0190,26.29
S0191,67.35
S0192,27.97
S0193,17.0
S0194,38.71
S0195,25.42
S0196,177.04
S0197,29.34
S0198,6.31
S0199,70.08
S0200,45.25
S0201,15.3
S0202,25.42
S0203,49.89
S0204,46.7
S0205,60.34
S0206,104.23
S0207,12.76
S0208,35.64
S0209,19.63
S0210,53.94
S0211,10.15
S0212,7.9
S0213,17.9
S0214,36.47
S0215,33.85
S0216,46.23
S0217,1.75
S0218,84.94
S0219,15.39
S0220,62.71
S0221,12.58
S0222,229.12
S0223,58.65
S0224,2.64
S0225,95.9
S0226,91.64
S0227,34.76
S0228,24.25
S0229,51.77
S0230,3.35
S0231,87.16
S0232,1.63
S0233,28.68
S0234,22.73
S0235,16.11
S0236,29.23
S0237,4.99
S0238,8.26
S0239,96.31
S0240,81.38
