sku,category,unit_cost_eur,current_price_eur,avg_monthly_demand,demand_std,lead_time_months,lead_time_std,moq,shelf_m3_per_unit,elasticity,annual_holding_rate,demand_risk
S0001,power tools,79.93,114.87,4.3,2.61,0.5,0.19,1,0.0028,-1.5,0.188,0.138
S0002,plumbing,8.38,13.59,63.6,21.01,0.5,0.14,25,0.041,-1.58,0.25,0.343
S0003,fasteners,0.51,0.93,20.1,17.73,1.5,0.31,1,0.0399,-1.63,0.209,0.199
S0004,power tools,205.99,263.71,13.0,4.42,1.5,0.34,50,0.0048,-1.41,0.275,0.374
S0005,abrasives,0.49,0.94,10.5,10.52,1.5,0.28,10,0.0445,-1.89,0.293,0.222
S0006,power tools,169.23,229.83,117.0,41.88,1.5,0.4,1,0.0411,-1.2,0.213,0.143
S0007,fasteners,0.49,0.79,9.2,8.15,1.0,0.18,1,0.0215,-1.99,0.248,0.245
S0008,electrical,7.76,13.38,61.9,40.16,0.5,0.12,10,0.0041,-1.85,0.205,0.216
S0009,chemicals,2.31,4.81,31.6,14.7,1.0,0.28,10,0.007,-1.32,0.299,0.449
S0010,chemicals,3.68,7.55,149.0,49.65,2.0,0.75,25,0.0156,-1.49,0.191,0.618
S0011,ppe,3.4,5.65,233.2,91.87,1.0,0.35,50,0.0404,-2.36,0.239,0.314
S0012,fasteners,0.86,1.42,201.0,117.97,1.0,0.12,1,0.0121,-2.18,0.205,0.236
S0013,hand tools,28.19,38.81,705.4,795.61,1.0,0.24,1,0.0223,-1.25,0.19,0.448
S0014,plumbing,3.54,6.05,20.3,18.56,2.0,0.79,50,0.0469,-1.6,0.246,0.031
S0015,abrasives,0.58,1.2,24.8,13.83,2.0,0.45,1,0.004,-1.53,0.288,0.366
S0016,electrical,3.4,4.89,28.7,32.16,2.0,0.2,1,0.0094,-1.52,0.267,0.308
S0017,abrasives,0.54,0.98,12.7,14.16,2.0,0.47,1,0.0382,-1.38,0.233,0.339
S0018,chemicals,5.23,9.62,8.8,11.7,1.5,0.21,1,0.0202,-1.75,0.261,0.309
S0019,abrasives,1.47,2.74,17.5,5.63,1.5,0.25,1,0.0205,-1.76,0.299,0.299
S0020,power tools,166.77,209.28,29.4,5.07,1.0,0.26,5,0.0261,-1.75,0.298,0.636
S0021,fasteners,1.02,1.65,7.3,9.41,1.0,0.22,25,0.046,-1.77,0.264,0.596
S0022,hand tools,28.24,38.87,85.9,49.3,2.0,0.45,5,0.0315,-1.58,0.265,0.731
S0023,plumbing,8.83,14.84,9.0,8.91,1.0,0.2,1,0.0497,-1.68,0.182,0.285
S0024,chemicals,5.95,11.53,47.0,59.26,2.0,0.38,1,0.0491,-1.73,0.28,0.43
S0025,fasteners,0.44,0.68,45.2,16.0,0.5,0.15,10,0.0437,-1.66,0.214,0.179
S0026,chemicals,3.68,7.9,14.0,2.12,1.5,0.19,5,0.0256,-1.84,0.241,0.039
S0027,fasteners,0.35,0.57,7.3,5.92,1.0,0.3,50,0.0394,-1.74,0.272,0.485
S0028,fasteners,1.06,1.94,25.6,26.27,2.0,0.28,25,0.0379,-1.77,0.278,0.023
S0029,plumbing,8.96,13.45,98.6,70.42,0.5,0.14,50,0.027,-1.54,0.212,0.131
S0030,fasteners,0.79,1.46,18.9,22.82,1.0,0.32,1,0.0123,-1.69,0.235,0.101
S0031,power tools,156.03,226.41,31.9,24.02,1.5,0.27,50,0.0059,-1.65,0.239,0.412
S0032,plumbing,8.13,12.9,5.6,2.87,0.5,0.17,10,0.0497,-1.45,0.29,0.13
S0033,hand tools,24.16,34.75,7.8,6.02,1.5,0.33,1,0.0012,-1.33,0.234,0.234
S0034,electrical,2.53,4.22,50.8,66.45,0.5,0.19,5,0.0134,-1.85,0.227,0.058
S0035,plumbing,7.14,11.34,270.3,185.07,0.5,0.17,50,0.0206,-1.13,0.246,0.135
S0036,electrical,5.78,10.07,27.5,18.39,1.0,0.19,50,0.0372,-1.38,0.229,0.139
S0037,hand tools,10.8,16.37,90.8,65.03,1.0,0.4,10,0.0219,-1.3,0.209,0.174
S0038,electrical,3.88,5.41,76.2,82.47,1.0,0.21,5,0.0379,-1.5,0.249,0.216
S0039,electrical,3.14,5.45,13.3,9.17,1.0,0.35,1,0.0072,-1.56,0.272,0.478
S0040,plumbing,11.47,19.26,22.0,24.84,1.0,0.15,25,0.0486,-1.63,0.279,0.555
S0041,fasteners,0.96,1.9,40.7,28.36,0.5,0.06,5,0.0267,-1.76,0.227,0.17
S0042,hand tools,30.21,45.5,12.6,17.02,1.0,0.12,1,0.0254,-1.23,0.23,0.398
S0043,chemicals,6.09,10.35,210.4,164.34,1.0,0.25,1,0.0163,-1.34,0.208,0.206
S0044,ppe,1.89,2.85,15.4,20.57,1.0,0.38,1,0.0114,-1.43,0.197,0.137
S0045,plumbing,11.5,18.33,40.4,24.94,1.0,0.23,1,0.0011,-1.52,0.222,0.146
S0046,fasteners,0.75,1.25,65.4,39.59,1.5,0.16,10,0.0132,-1.71,0.229,0.324
S0047,hand tools,17.71,25.8,109.7,143.19,1.0,0.1,25,0.0459,-1.25,0.293,0.047
S0048,plumbing,6.7,10.47,18.9,24.76,1.0,0.1,50,0.0159,-1.25,0.198,0.176
S0049,hand tools,21.29,31.43,8.3,7.98,1.5,0.4,5,0.0089,-1.37,0.193,0.125
S0050,plumbing,11.85,18.17,6.8,8.6,1.0,0.32,50,0.0382,-1.19,0.215,0.249
S0051,chemicals,3.23,5.55,13.2,10.66,0.5,0.15,1,0.006,-1.62,0.278,0.75
S0052,fasteners,0.5,0.99,232.4,142.99,1.0,0.23,5,0.039,-1.67,0.181,0.405
S0053,chemicals,2.41,5.24,67.9,41.74,2.0,0.39,1,0.0025,-1.6,0.238,0.205
S0054,ppe,3.45,5.42,42.3,9.06,2.0,0.73,10,0.0214,-1.56,0.3,0.173
S0055,fasteners,1.12,1.89,67.9,85.12,1.5,0.5,1,0.0017,-1.79,0.257,0.347
S0056,power tools,136.22,208.95,5.8,6.7,1.0,0.19,1,0.0488,-1.46,0.186,0.329
S0057,ppe,2.55,3.75,4.3,5.47,0.5,0.18,50,0.0029,-1.59,0.194,0.298
S0058,chemicals,5.52,10.0,42.2,29.45,0.5,0.05,10,0.0238,-1.64,0.254,0.371
S0059,fasteners,0.65,1.08,77.5,75.28,0.5,0.15,1,0.0462,-2.05,0.266,0.046
S0060,abrasives,0.45,0.71,49.4,14.18,1.0,0.39,10,0.0151,-1.47,0.275,0.489
S0061,hand tools,15.05,21.87,234.3,168.81,1.0,0.25,10,0.0112,-1.46,0.241,0.299
S0062,plumbing,9.28,17.29,5.2,4.92,1.0,0.39,10,0.0282,-1.32,0.286,0.088
S0063,electrical,4.3,7.66,30.8,34.06,1.5,0.25,25,0.0374,-1.86,0.278,0.146
S0064,fasteners,0.36,0.57,36.1,28.55,0.5,0.07,1,0.031,-2.35,0.187,0.312
S0065,chemicals,3.89,6.5,5.6,1.95,0.5,0.19,1,0.0357,-1.64,0.188,0.167
S0066,plumbing,3.79,6.91,152.7,133.32,2.0,0.76,50,0.0251,-1.59,0.18,0.128
S0067,fasteners,0.69,1.2,52.7,35.26,2.0,0.3,5,0.0041,-1.71,0.299,0.399
S0068,chemicals,7.41,12.21,35.0,48.85,1.0,0.17,1,0.007,-1.29,0.291,0.055
S0069,plumbing,11.85,18.73,5.0,1.81,1.0,0.35,1,0.0473,-1.22,0.219,0.146
S0070,hand tools,32.5,48.88,204.4,249.76,1.5,0.58,1,0.0289,-1.43,0.205,0.493
S0071,fasteners,0.94,1.68,100.7,23.38,2.0,0.66,1,0.0411,-1.5,0.287,0.038
S0072,fasteners,0.51,0.79,122.7,144.95,1.0,0.24,1,0.0058,-1.57,0.205,0.482
S0073,power tools,165.8,223.72,25.7,23.72,0.5,0.17,1,0.0224,-1.26,0.222,0.504
S0074,fasteners,1.05,1.66,22.7,8.64,1.5,0.42,25,0.0138,-1.36,0.214,0.159
S0075,hand tools,10.94,17.82,140.6,131.45,1.0,0.13,10,0.0447,-1.19,0.231,0.428
S0076,ppe,1.83,3.37,4.3,4.35,2.0,0.59,5,0.0295,-1.97,0.284,0.313
S0077,abrasives,0.71,1.18,10.2,10.41,2.0,0.31,5,0.038,-1.46,0.254,0.336
S0078,chemicals,3.52,7.54,35.5,12.02,1.0,0.34,50,0.0156,-1.78,0.193,0.034
S0079,plumbing,5.91,8.74,4.3,0.67,1.0,0.37,10,0.0354,-1.32,0.258,0.464
S0080,hand tools,23.01,32.71,12.4,8.56,1.0,0.29,1,0.0448,-1.47,0.228,0.275
S0081,fasteners,1.09,1.89,268.7,340.74,1.0,0.33,10,0.0418,-1.4,0.193,0.135
S0082,fasteners,0.64,1.22,22.1,16.46,0.5,0.15,5,0.0266,-1.95,0.294,0.177
S0083,fasteners,1.2,1.99,7.7,5.0,0.5,0.06,10,0.0318,-1.66,0.25,0.12
S0084,plumbing,12.05,22.9,22.5,29.51,0.5,0.17,50,0.0105,-1.28,0.266,0.275
S0085,plumbing,9.99,17.34,66.4,75.0,1.0,0.18,10,0.0347,-1.06,0.261,0.195
S0086,hand tools,16.69,25.2,31.6,40.17,1.0,0.38,10,0.0038,-1.14,0.289,0.592
S0087,fasteners,0.54,1.01,17.4,22.27,2.0,0.3,50,0.0308,-1.54,0.26,0.511
S0088,abrasives,0.91,1.82,28.3,12.53,1.0,0.24,25,0.0039,-1.78,0.197,0.271
S0089,fasteners,1.07,1.83,34.9,41.9,1.0,0.23,50,0.0047,-1.7,0.256,0.039
S0090,power tools,206.22,287.09,18.5,3.56,1.5,0.43,5,0.0056,-1.34,0.221,0.507
S0091,fasteners,0.58,0.96,24.1,33.27,2.0,0.41,1,0.0331,-1.53,0.22,0.186
S0092,abrasives,0.46,0.88,121.6,25.79,1.0,0.13,1,0.0103,-1.37,0.253,0.213
S0093,hand tools,24.04,38.25,43.4,18.04,1.5,0.43,1,0.006,-1.5,0.184,0.397
S0094,electrical,7.81,12.4,12.8,8.67,1.0,0.11,25,0.0324,-1.15,0.187,0.477
S0095,ppe,4.35,6.92,5.5,4.89,1.0,0.24,10,0.0279,-2.5,0.237,0.211
S0096,electrical,3.99,5.7,22.8,19.64,1.5,0.48,1,0.0462,-1.61,0.27,0.305
S0097,ppe,2.93,4.94,61.7,39.25,1.0,0.32,1,0.0479,-1.6,0.253,0.156
S0098,fasteners,1.18,1.84,72.9,81.84,1.5,0.58,25,0.0174,-2.09,0.255,0.334
S0099,abrasives,0.44,0.71,111.2,152.4,1.0,0.21,50,0.0194,-1.51,0.208,0.314
S0100,fasteners,1.14,2.12,52.0,16.94,2.0,0.29,25,0.0345,-1.39,0.222,0.06
S0101,abrasives,1.46,2.42,45.9,33.58,1.0,0.38,25,0.0378,-1.49,0.235,0.064
S0102,ppe,4.27,7.65,26.5,23.5,1.0,0.16,1,0.0099,-1.76,0.224,0.312
S0103,fasteners,1.21,2.02,3.2,3.63,1.0,0.19,1,0.0179,-1.83,0.182,0.03
S0104,ppe,2.14,3.72,1.8,2.0,2.0,0.78,5,0.0423,-2.19,0.299,0.476
S0105,abrasives,0.97,1.92,727.8,751.8,0.5,0.09,25,0.0124,-2.12,0.291,0.186
S0106,fasteners,0.96,1.52,3.8,0.7,0.5,0.09,25,0.0358,-1.69,0.298,0.051
S0107,abrasives,0.75,1.38,42.3,23.47,1.0,0.22,5,0.0246,-2.05,0.209,0.378
S0108,fasteners,0.36,0.7,7.2,1.95,1.5,0.53,50,0.0047,-1.33,0.219,0.195
S0109,abrasives,0.62,1.09,90.9,30.61,1.5,0.34,1,0.0022,-1.69,0.216,0.109
S0110,ppe,3.38,5.89,151.9,181.38,0.5,0.09,1,0.0486,-2.08,0.211,0.192
S0111,fasteners,1.06,2.11,3.8,2.67,2.0,0.4,1,0.0227,-1.53,0.293,0.404
S0112,power tools,84.46,127.0,25.9,9.57,2.0,0.25,1,0.0446,-1.29,0.271,0.114
S0113,fasteners,0.6,0.91,52.2,62.71,0.5,0.13,5,0.0174,-1.47,0.284,0.392
S0114,chemicals,3.1,5.53,26.2,20.82,0.5,0.1,1,0.041,-1.31,0.219,0.262
S0115,ppe,2.98,4.84,26.4,35.89,1.0,0.29,1,0.006,-2.3,0.278,0.713
S0116,ppe,3.02,5.14,37.7,11.45,1.5,0.41,5,0.0064,-2.45,0.286,0.399
S0117,ppe,2.59,4.72,60.8,54.93,0.5,0.11,1,0.0391,-2.19,0.209,0.11
S0118,electrical,2.88,4.52,10.8,10.16,1.0,0.13,1,0.0044,-1.55,0.241,0.431
S0119,abrasives,0.73,1.32,203.3,94.17,2.0,0.21,1,0.0476,-1.94,0.217,0.333
S0120,ppe,2.16,3.45,26.4,8.05,1.0,0.37,10,0.0293,-2.27,0.268,0.438
S0121,fasteners,0.67,1.17,2.4,1.27,1.5,0.36,5,0.0025,-2.03,0.203,0.339
S0122,fasteners,1.17,1.92,15.6,19.47,1.0,0.19,1,0.0088,-2.33,0.285,0.288
S0123,abrasives,0.54,0.89,9.2,5.43,1.0,0.28,5,0.0412,-1.73,0.269,0.433
S0124,abrasives,1.44,2.32,82.3,63.56,2.0,0.29,5,0.0438,-1.65,0.226,0.206
S0125,chemicals,5.36,9.6,5.1,6.18,1.5,0.32,5,0.01,-1.76,0.197,0.51
S0126,power tools,185.2,278.12,5.2,0.85,0.5,0.09,10,0.0157,-1.42,0.217,0.24
S0127,chemicals,4.83,7.87,45.1,7.35,0.5,0.13,1,0.0211,-1.6,0.258,0.164
S0128,electrical,6.47,10.62,41.0,24.74,1.0,0.39,5,0.0261,-1.81,0.287,0.414
S0129,power tools,134.76,187.37,11.9,11.16,2.0,0.26,25,0.0497,-1.35,0.185,0.299
S0130,fasteners,0.6,1.14,40.0,15.83,1.5,0.5,25,0.014,-1.69,0.244,0.363
S0131,fasteners,0.42,0.66,31.2,28.59,0.5,0.15,50,0.0388,-2.04,0.266,0.284
S0132,electrical,6.43,9.68,21.0,4.59,1.5,0.41,1,0.0225,-1.4,0.21,0.036
S0133,electrical,8.0,11.92,20.8,9.44,1.5,0.45,25,0.0118,-1.65,0.285,0.36
S0134,chemicals,3.23,6.95,10.0,2.94,2.0,0.72,5,0.0208,-1.95,0.195,0.221
S0135,fasteners,0.91,1.5,2.7,0.72,1.0,0.26,1,0.0282,-1.89,0.275,0.24
S0136,hand tools,22.94,33.13,23.2,28.37,1.0,0.38,5,0.0302,-1.36,0.299,0.299
S0137,abrasives,1.18,1.89,303.2,335.34,0.5,0.15,25,0.0081,-2.19,0.265,0.49
S0138,electrical,2.98,5.19,266.2,104.09,1.0,0.13,5,0.0072,-1.33,0.214,0.174
S0139,electrical,3.41,5.05,39.5,26.3,1.5,0.26,10,0.0183,-1.4,0.202,0.081
S0140,fasteners,0.37,0.58,10.8,6.76,0.5,0.13,50,0.0323,-2.2,0.281,0.402
S0141,abrasives,0.81,1.27,16.1,19.6,2.0,0.62,1,0.0344,-2.17,0.218,0.366
S0142,hand tools,14.3,21.81,20.8,16.2,1.5,0.38,50,0.0352,-1.36,0.241,0.482
S0143,plumbing,8.91,15.03,14.8,8.84,1.5,0.19,50,0.0162,-1.61,0.265,0.469
S0144,chemicals,7.55,13.39,5.2,2.95,0.5,0.13,1,0.0342,-1.88,0.298,0.442
S0145,fasteners,1.12,1.83,8.5,11.51,1.0,0.2,10,0.0289,-2.08,0.247,0.046
S0146,abrasives,0.72,1.34,132.2,149.37,1.0,0.1,1,0.0326,-1.64,0.292,0.455
S0147,fasteners,1.01,1.92,15.3,14.5,1.0,0.13,50,0.0417,-1.58,0.219,0.179
S0148,ppe,2.5,4.41,34.4,40.41,1.5,0.56,1,0.0252,-2.0,0.199,0.356
S0149,fasteners,0.72,1.43,21.3,22.44,0.5,0.05,25,0.0429,-1.53,0.231,0.187
S0150,chemicals,4.69,9.13,10.0,7.04,2.0,0.61,25,0.0106,-1.93,0.219,0.145
S0151,plumbing,11.76,20.25,57.5,29.97,2.0,0.45,5,0.0246,-1.28,0.216,0.177
S0152,fasteners,0.91,1.52,31.9,25.92,2.0,0.46,5,0.0066,-2.2,0.287,0.487
S0153,power tools,131.37,184.68,7.3,2.13,2.0,0.75,25,0.0049,-1.51,0.189,0.245
S0154,abrasives,0.55,1.14,39.1,46.44,1.5,0.39,1,0.0286,-1.5,0.196,0.45
S0155,fasteners,0.59,1.08,7.0,6.49,1.0,0.27,50,0.0437,-2.22,0.269,0.175
S0156,fasteners,0.66,1.22,4.6,5.31,0.5,0.06,50,0.0129,-2.01,0.263,0.045
S0157,ppe,1.51,2.29,207.4,247.9,2.0,0.73,25,0.0499,-1.69,0.212,0.264
S0158,electrical,3.02,4.87,48.5,58.38,1.0,0.31,10,0.0203,-1.2,0.253,0.127
S0159,hand tools,10.05,14.1,15.0,13.07,1.5,0.57,5,0.0013,-1.28,0.22,0.072
S0160,power tools,98.55,136.88,8.7,7.05,1.0,0.4,1,0.0458,-1.17,0.191,0.14
S0161,electrical,7.85,11.51,47.1,11.31,1.0,0.32,25,0.0428,-1.7,0.285,0.338
S0162,electrical,7.78,12.17,42.2,27.22,1.0,0.38,25,0.0042,-1.66,0.217,0.614
S0163,ppe,4.58,7.12,60.7,74.99,0.5,0.18,5,0.0451,-2.27,0.211,0.06
S0164,fasteners,0.68,1.08,102.4,98.32,1.0,0.17,1,0.0482,-1.74,0.19,0.535
S0165,fasteners,0.8,1.54,752.5,312.5,1.0,0.36,1,0.0328,-1.95,0.261,0.233
S0166,hand tools,17.03,25.77,31.5,22.97,0.5,0.05,5,0.0286,-1.06,0.187,0.399
S0167,fasteners,0.46,0.86,17.9,15.85,2.0,0.29,25,0.0292,-2.15,0.254,0.745
S0168,hand tools,22.19,35.39,29.2,23.71,1.0,0.14,1,0.0283,-1.55,0.277,0.314
S0169,ppe,1.95,3.39,7.7,8.25,1.0,0.36,1,0.0269,-2.18,0.265,0.351
S0170,electrical,5.13,7.48,40.7,17.71,1.5,0.33,10,0.0473,-1.4,0.207,0.189
S0171,fasteners,1.0,1.79,7.1,2.46,1.0,0.39,1,0.0413,-2.09,0.22,0.401
S0172,hand tools,19.87,30.7,61.2,76.77,1.0,0.11,10,0.0099,-1.12,0.299,0.363
S0173,fasteners,0.98,1.52,3.4,0.89,1.0,0.29,50,0.0361,-1.43,0.298,0.035
S0174,fasteners,0.77,1.24,21.2,3.71,1.0,0.12,1,0.0069,-1.86,0.196,0.207
S0175,abrasives,0.98,1.58,14.2,18.44,1.0,0.39,1,0.0368,-1.95,0.201,0.384
S0176,chemicals,5.37,9.56,46.2,38.62,1.5,0.59,50,0.0362,-1.68,0.218,0.279
S0177,chemicals,2.98,6.47,72.2,65.96,1.5,0.6,1,0.0335,-1.93,0.254,0.061
S0178,abrasives,0.92,1.73,20.1,14.91,1.5,0.38,25,0.0278,-1.86,0.279,0.513
S0179,plumbing,5.64,9.82,130.5,170.29,1.0,0.18,10,0.043,-1.47,0.251,0.533
S0180,chemicals,3.34,5.63,11.3,3.85,1.5,0.23,50,0.0435,-1.97,0.226,0.66
