sku,action_carry,order_up_to,reorder_point,safety_stock,current_price_eur,recommended_price_eur,price_change_pct,monthly_margin_uplift_eur,annual_margin_uplift_eur,price_flag
S0001,carry,9.0,5.4,3.3,114.87,132.1,15.0,26.97,323.64,elastic
S0004,carry,13.5,20.5,9.8,263.71,303.27,15.0,189.03,2268.36,elastic
S0006,carry,141.9,204.5,96.7,229.83,264.3,15.0,1319.81,15837.72,elastic
S0008,carry,144.8,80.8,48.4,13.38,15.39,15.0,51.31,615.72,elastic
S0031,carry,60.5,77.8,49.1,226.41,260.37,15.0,343.77,4125.24,elastic
S0033,carry,15.1,19.5,12.4,34.75,39.96,15.0,12.03,144.36,elastic
S0039,carry,25.4,24.0,15.8,5.45,6.27,15.0,3.25,39.0,elastic
S0045,carry,81.0,77.2,43.0,18.33,21.08,15.0,23.95,287.4,elastic
S0051,carry,24.7,14.9,12.5,5.55,6.38,15.0,1.37,16.44,elastic
S0057,carry,12.1,7.4,6.4,3.75,4.31,15.0,0.3,3.6,elastic
S0065,carry,8.9,5.3,2.8,6.5,7.47,15.0,0.96,11.52,elastic
S0088,carry,41.1,35.6,21.4,1.82,1.55,-15.0,1.43,17.16,elastic
S0090,carry,16.9,26.8,10.5,287.09,330.15,15.0,218.33,2619.96,elastic
S0093,carry,62.5,82.0,41.1,38.25,43.99,15.0,44.91,538.92,elastic
S0106,carry,4.5,2.6,0.9,1.52,1.75,15.0,0.32,3.84,elastic
S0108,carry,9.6,14.5,6.2,0.7,0.8,15.0,0.16,1.92,elastic
S0118,carry,26.2,24.4,16.8,4.52,5.2,15.0,2.7,32.4,elastic
S0121,carry,5.0,6.7,3.0,1.17,1.35,15.0,0.15,1.8,elastic
S0125,carry,14.8,15.7,12.5,9.6,11.04,15.0,0.84,10.08,elastic
S0126,carry,5.6,3.2,1.2,278.12,319.84,15.0,56.65,679.8,elastic
S0153,carry,9.4,19.8,8.5,184.68,212.38,15.0,61.09,733.08,elastic
S0159,carry,29.1,37.1,27.1,14.1,16.21,15.0,9.97,119.64,elastic
S0186,carry,19.9,11.8,5.8,9.39,10.8,15.0,4.36,52.32,elastic
S0189,carry,9.5,16.2,7.6,4.78,5.08,6.36,0.07,0.84,elastic
S0202,carry,77.2,42.4,30.4,21.83,25.1,15.0,12.39,148.68,elastic
S0217,carry,5.3,4.8,3.0,4.31,4.59,6.57,0.02,0.24,elastic
S0234,carry,64.4,59.0,39.3,2.14,2.04,-4.61,0.09,1.08,elastic
S0237,carry,8.0,4.6,2.1,0.92,0.94,2.14,0.0,0.0,elastic
S0240,carry,200.8,191.0,120.8,150.2,172.73,15.0,548.8,6585.6,elastic
