kind,key,category,metric,change,a_label,b_label,a_eur,b_eur,delta_eur,conditions_eur,action_eur,a_verdict,b_verdict,verdict_flip
assortment,S0045,plumbing,price-line uplift EUR/yr,leaves,+15.0%,dropped,287.4,0.0,-287.4,0.0,0.0,accept,,
assortment,S0079,plumbing,price-line uplift EUR/yr,enters,dropped,+15.0%,0.0,22.44,22.44,0.0,0.0,,hold,
price,S0006,power tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,15837.72,18964.2,3126.48,3126.12,0.36,hold,hold,
price,S0240,power tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,6585.6,8194.92,1609.32,1609.32,0.0,accept,accept,
price,S0031,power tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,4125.24,5030.52,905.28,905.16,0.12,accept,accept,
price,S0090,power tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,2619.96,3156.96,537.0,536.88,0.12,accept,accept,
price,S0004,power tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,2268.36,2681.28,412.92,413.04,-0.12,accept,hold,accept->hold
price,S0093,hand tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,538.92,713.16,174.24,174.24,0.0,accept,accept,
price,S0126,power tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,679.8,838.68,158.88,158.88,0.0,accept,accept,
price,S0153,power tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,733.08,885.72,152.64,152.64,0.0,accept,accept,
price,S0008,electrical,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,615.72,692.88,77.16,77.28,-0.12,accept,accept,
price,S0001,power tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,323.64,393.48,69.84,69.84,0.0,accept,accept,
price,S0202,plumbing,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,148.68,211.8,63.12,63.0,0.12,hold,hold,
price,S0033,hand tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,144.36,180.36,36.0,36.12,-0.12,accept,accept,
price,S0159,hand tools,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,119.64,148.08,28.44,28.44,0.0,hold,hold,
price,S0186,plumbing,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,52.32,66.96,14.64,14.76,-0.12,accept,accept,
price,S0088,abrasives,price-line uplift EUR/yr,repriced,-15.0%,-12.5%,17.16,7.32,-9.84,-10.2,0.36,accept,hold,accept->hold
price,S0051,chemicals,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,16.44,22.92,6.48,6.6,-0.12,hold,hold,
price,S0039,electrical,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,39.0,43.92,4.92,4.92,0.0,hold,hold,
price,S0125,chemicals,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,10.08,14.88,4.8,4.8,0.0,hold,hold,
price,S0065,chemicals,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,11.52,15.6,4.08,4.08,0.0,hold,hold,
price,S0118,electrical,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,32.4,36.24,3.84,3.84,0.0,accept,hold,accept->hold
price,S0189,ppe,price-line uplift EUR/yr,repriced,+6.4%,+14.9%,0.84,4.2,3.36,2.16,1.2,hold,hold,
price,S0057,ppe,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,3.6,6.48,2.88,2.76,0.12,accept,accept,
price,S0217,ppe,price-line uplift EUR/yr,repriced,+6.6%,+15.0%,0.24,1.2,0.96,0.6,0.36,hold,hold,
price,S0234,abrasives,price-line uplift EUR/yr,repriced,-4.6%,+3.0%,1.08,0.36,-0.72,-3.72,3.0,hold,hold,
price,S0106,fasteners,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,3.84,4.32,0.48,0.48,0.0,hold,hold,
price,S0237,abrasives,price-line uplift EUR/yr,repriced,+2.1%,+10.3%,0.0,0.48,0.48,0.12,0.36,hold,hold,
price,S0108,fasteners,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,1.92,2.28,0.36,0.36,0.0,accept,accept,
price,S0121,fasteners,price-line uplift EUR/yr,revalued,+15.0%,+15.0%,1.8,2.04,0.24,0.36,-0.12,accept,accept,
promo,plumbing,plumbing,promo budget EUR,down,,,7417.55,6792.25,-625.3,0.0,0.0,,,
promo,abrasives,abrasives,promo budget EUR,up,,,2381.5,2528.82,147.32,0.0,0.0,,,
promo,electrical,electrical,promo budget EUR,up,,,6255.72,6399.59,143.87,0.0,0.0,,,
promo,chemicals,chemicals,promo budget EUR,up,,,2507.1,2647.59,140.49,0.0,0.0,,,
promo,hand tools,hand tools,promo budget EUR,up,,,7502.13,7606.21,104.08,0.0,0.0,,,
promo,ppe,ppe,promo budget EUR,up,,,1187.64,1277.92,90.28,0.0,0.0,,,
promo,power tools,power tools,promo budget EUR,down,,,12748.35,12747.62,-0.73,0.0,0.0,,,
promo,fasteners,fasteners,promo budget EUR,steady,,,0.0,0.0,0.0,0.0,0.0,,,
