metric,value
total_a_eur,159966.19
total_b_eur,139487.29
delta_eur,-20478.9
bridge_residual_eur,0.0
pricing_a_eur,35220.36
pricing_b_eur,42343.68
promo_a_eur,18583.8
promo_b_eur,14876.78
assortment_a_eur,106162.03
assortment_b_eur,82266.83
milp_margin_a_eur,155474.48
milp_margin_b_eur,124474.32
greedy_margin_a_eur,49312.45
greedy_margin_b_eur,42207.49
n_carried_a,29
n_carried_b,29
capital_used_a_eur,56152.48
capital_used_b_eur,59934.26
promo_budget_a_eur,40000.0
promo_budget_b_eur,40000.0
n_entered,1
n_left,1
n_price_changed,28
n_verdict_flips,3
gate_draws,256
seed,20260807
