service_level,empirical_z,gaussian_z,safety_stock_units,safety_capital_eur,holding_cost_eur_month,expected_fill_rate,expected_stockout_units_month,expected_stockout_cost_eur_month,total_cost_eur_month
0.8,1.092,0.8416,223.52,13055.38,247.87,0.93835,27.94,759.31,1007.17
0.81,1.1246,0.8779,230.19,13444.79,255.26,0.94122,26.64,724.05,979.31
0.82,1.1559,0.9154,236.59,13819.12,262.37,0.94384,25.46,691.78,954.14
0.83,1.2094,0.9542,247.55,14459.03,274.52,0.94804,23.55,639.95,914.47
0.84,1.2639,0.9945,258.7,15110.49,286.88,0.95211,21.71,589.9,876.79
0.85,1.3188,1.0364,269.93,15766.4,299.34,0.95594,19.97,542.71,842.04
0.86,1.3789,1.0803,282.24,16485.4,312.99,0.95987,18.19,494.23,807.22
0.87,1.4351,1.1264,293.74,17156.95,325.74,0.96331,16.63,451.97,777.71
0.88,1.5147,1.175,310.03,18108.59,343.81,0.96777,14.61,396.99,740.8
0.89,1.5647,1.2265,320.26,18706.04,355.15,0.97036,13.43,365.02,720.17
0.9,1.6551,1.2816,338.78,19787.37,375.68,0.97467,11.48,312.01,687.69
0.91,1.7199,1.3408,352.04,20561.84,390.38,0.97744,10.22,277.86,668.25
0.92,1.8009,1.4051,368.62,21530.37,408.77,0.98056,8.81,239.41,648.18
0.93,1.8715,1.4758,383.06,22374.09,424.79,0.98298,7.71,209.65,634.44
0.94,1.9958,1.5548,408.51,23860.27,453.01,0.98658,6.08,165.25,618.25
0.95,2.153,1.6449,440.69,25740.25,488.7,0.99044,4.33,117.79,606.49
0.96,2.2785,1.7507,466.37,27240.16,517.18,0.99295,3.19,86.78,603.96
0.97,2.4169,1.8808,494.71,28895.46,548.6,0.99512,2.21,60.16,608.76
0.98,2.5989,2.0537,531.97,31071.32,589.91,0.99717,1.28,34.91,624.82
0.99,2.8207,2.3263,577.35,33722.03,640.24,0.99868,0.6,16.21,656.45
