metric,value
baseline_point_estimate_eur,159966.19
hurdle_eur,159966.19
total_prob_at_or_above_hurdle,0.4336
total_var10_eur,145091.45
total_cvar10_eur,139503.85
total_downside_point_vs_p10_eur,14874.74
total_upside_p90_vs_point_eur,10756.73
total_mean_eur,158116.86
total_std_eur,10130.84
total_min_eur,129166.77
total_p05_eur,141041.7
total_p10_eur,145091.45
total_p25_eur,151985.57
total_p50_eur,158504.35
total_p75_eur,164920.28
total_p90_eur,170722.92
total_p95_eur,173684.71
total_max_eur,190264.52
pricing_mean_eur,34310.06
pricing_std_eur,5882.48
pricing_min_eur,18816.48
pricing_p05_eur,24856.47
pricing_p10_eur,26811.9
pricing_p25_eur,30167.94
pricing_p50_eur,34619.46
pricing_p75_eur,38582.16
pricing_p90_eur,42100.38
pricing_p95_eur,43805.79
pricing_max_eur,48825.84
promo_mean_eur,18476.81
promo_std_eur,1727.26
promo_min_eur,13736.53
promo_p05_eur,15309.17
promo_p10_eur,16332.71
promo_p25_eur,17275.27
promo_p50_eur,18483.93
promo_p75_eur,19569.57
promo_p90_eur,20827.27
promo_p95_eur,21288.98
promo_max_eur,23440.7
assortment_mean_eur,105330.0
assortment_std_eur,10876.11
assortment_min_eur,74998.92
assortment_p05_eur,86169.49
assortment_p10_eur,92437.38
assortment_p25_eur,98208.33
assortment_p50_eur,105259.44
assortment_p75_eur,112966.93
assortment_p90_eur,119940.3
assortment_p95_eur,123432.35
assortment_max_eur,136017.3
n_draws,256
seed,20260807
