sku,category,unit_cost_eur,lead_time_months,moq,shelf_m3_per_unit,elasticity_true,annual_holding_rate
S0001,power tools,79.93,0.5,1,0.0028,-1.5,0.188
S0002,plumbing,8.38,0.5,25,0.041,-1.58,0.25
S0003,fasteners,0.51,1.5,1,0.0399,-1.63,0.209
S0004,power tools,205.99,1.5,50,0.0048,-1.41,0.275
S0005,abrasives,0.49,1.5,10,0.0445,-1.89,0.293
S0006,power tools,169.23,1.5,1,0.0411,-1.2,0.213
S0007,fasteners,0.49,1.0,1,0.0215,-1.99,0.248
S0008,electrical,7.76,0.5,10,0.0041,-1.85,0.205
S0009,chemicals,2.31,1.0,10,0.007,-1.32,0.299
S0010,chemicals,3.68,2.0,25,0.0156,-1.49,0.191
S0011,ppe,3.4,1.0,50,0.0404,-2.36,0.239
S0012,fasteners,0.86,1.0,1,0.0121,-2.18,0.205
S0013,hand tools,28.19,1.0,1,0.0223,-1.25,0.19
S0014,plumbing,3.54,2.0,50,0.0469,-1.6,0.246
S0015,abrasives,0.58,2.0,1,0.004,-1.53,0.288
S0016,electrical,3.4,2.0,1,0.0094,-1.52,0.267
S0017,abrasives,0.54,2.0,1,0.0382,-1.38,0.233
S0018,chemicals,5.23,1.5,1,0.0202,-1.75,0.261
S0019,abrasives,1.47,1.5,1,0.0205,-1.76,0.299
S0020,power tools,166.77,1.0,5,0.0261,-1.75,0.298
S0021,fasteners,1.02,1.0,25,0.046,-1.77,0.264
S0022,hand tools,28.24,2.0,5,0.0315,-1.58,0.265
S0023,plumbing,8.83,1.0,1,0.0497,-1.68,0.182
S0024,chemicals,5.95,2.0,1,0.0491,-1.73,0.28
S0025,fasteners,0.44,0.5,10,0.0437,-1.66,0.214
S0026,chemicals,3.68,1.5,5,0.0256,-1.84,0.241
S0027,fasteners,0.35,1.0,50,0.0394,-1.74,0.272
S0028,fasteners,1.06,2.0,25,0.0379,-1.77,0.278
S0029,plumbing,8.96,0.5,50,0.027,-1.54,0.212
S0030,fasteners,0.79,1.0,1,0.0123,-1.69,0.235
S0031,power tools,156.03,1.5,50,0.0059,-1.65,0.239
S0032,plumbing,8.13,0.5,10,0.0497,-1.45,0.29
S0033,hand tools,24.16,1.5,1,0.0012,-1.33,0.234
S0034,electrical,2.53,0.5,5,0.0134,-1.85,0.227
S0035,plumbing,7.14,0.5,50,0.0206,-1.13,0.246
S0036,electrical,5.78,1.0,50,0.0372,-1.38,0.229
S0037,hand tools,10.8,1.0,10,0.0219,-1.3,0.209
S0038,electrical,3.88,1.0,5,0.0379,-1.5,0.249
S0039,electrical,3.14,1.0,1,0.0072,-1.56,0.272
S0040,plumbing,11.47,1.0,25,0.0486,-1.63,0.279
S0041,fasteners,0.96,0.5,5,0.0267,-1.76,0.227
S0042,hand tools,30.21,1.0,1,0.0254,-1.23,0.23
S0043,chemicals,6.09,1.0,1,0.0163,-1.34,0.208
S0044,ppe,1.89,1.0,1,0.0114,-1.43,0.197
S0045,plumbing,11.5,1.0,1,0.0011,-1.52,0.222
S0046,fasteners,0.75,1.5,10,0.0132,-1.71,0.229
S0047,hand tools,17.71,1.0,25,0.0459,-1.25,0.293
S0048,plumbing,6.7,1.0,50,0.0159,-1.25,0.198
S0049,hand tools,21.29,1.5,5,0.0089,-1.37,0.193
S0050,plumbing,11.85,1.0,50,0.0382,-1.19,0.215
S0051,chemicals,3.23,0.5,1,0.006,-1.62,0.278
