sku,category,date_key,carried,forecast_demand,current_price,recommended_price,price_change_pct,margin_uplift_monthly_eur,margin_uplift_annual_eur,order_up_to,safety_stock,reorder_point,expected_shortage_units,annual_margin_eur,capital_at_cost_eur,promo_category,promo_allocation_eur
S0001,power tools,20260701,1,4.32,114.87,132.1,15.0,26.97,323.64,9.0,3.3,5.4,0.04,1802.9,430.14,power tools,12748.35
S0002,plumbing,20260701,0,58.3,13.59,,,,,,,,,3976.27,423.75,,
S0003,fasteners,20260701,0,17.33,0.93,,,,,,,,,101.3,22.61,,
S0004,power tools,20260701,1,9.91,263.71,303.27,15.0,189.03,2268.36,13.5,9.8,20.5,0.15,9004.32,3510.69,power tools,12748.35
S0005,abrasives,20260701,0,11.24,0.94,,,,,,,,,56.7,12.36,,
S0006,power tools,20260701,1,91.36,229.83,264.3,15.0,1319.81,15837.72,141.9,96.7,204.5,0.82,85082.4,26544.06,power tools,12748.35
S0007,fasteners,20260701,0,7.21,0.79,,,,,,,,,33.12,8.84,,
S0008,electrical,20260701,1,64.91,13.38,15.39,15.0,51.31,615.72,144.8,48.4,80.8,0.35,4174.54,634.29,electrical,6255.72
S0009,chemicals,20260701,0,22.45,4.81,,,,,,,,,948.0,92.53,,
S0010,chemicals,20260701,0,98.07,7.55,,,,,,,,,6919.56,849.79,,
S0011,ppe,20260701,0,212.97,5.65,,,,,,,,,6296.4,911.83,,
S0012,fasteners,20260701,0,166.01,1.42,,,,,,,,,1350.72,253.83,,
S0013,hand tools,20260701,0,642.09,38.81,,,,,,,,,89896.18,46949.22,,
S0014,plumbing,20260701,0,20.17,6.05,,,,,,,,,611.44,180.27,,
S0015,abrasives,20260701,0,16.55,1.2,,,,,,,,,184.51,27.62,,
S0016,electrical,20260701,0,25.15,4.89,,,,,,,,,513.16,278.0,,
S0017,abrasives,20260701,0,10.38,0.98,,,,,,,,,67.06,19.47,,
S0018,chemicals,20260701,0,10.12,9.62,,,,,,,,,463.58,135.48,,
S0019,abrasives,20260701,0,13.77,2.74,,,,,,,,,266.7,32.95,,
S0020,power tools,20260701,0,20.98,209.28,,,,,,,,,14997.53,3846.63,,
S0021,fasteners,20260701,0,4.26,1.65,,,,,,,,,55.19,19.56,,
S0022,hand tools,20260701,0,45.55,38.87,,,,,,,,,10957.4,4723.0,,
S0023,plumbing,20260701,0,7.94,14.84,,,,,,,,,649.08,169.55,,
S0024,chemicals,20260701,0,42.89,11.53,,,,,,,,,3147.12,861.44,,
S0025,fasteners,20260701,0,36.34,0.68,,,,,,,,,130.18,16.59,,
S0026,chemicals,20260701,0,11.12,7.9,,,,,,,,,708.96,51.51,,
S0027,fasteners,20260701,0,5.47,0.57,,,,,,,,,19.27,4.7,,
S0028,fasteners,20260701,0,28.06,1.94,,,,,,,,,270.34,73.08,,
S0029,plumbing,20260701,0,89.12,13.45,,,,,,,,,5312.57,1261.95,,
S0030,fasteners,20260701,0,17.16,1.46,,,,,,,,,151.96,37.21,,
S0031,power tools,20260701,1,28.69,226.41,260.37,15.0,343.77,4125.24,60.5,49.1,77.8,0.41,26941.46,9916.95,power tools,12748.35
S0032,plumbing,20260701,0,4.59,12.9,,,,,,,,,320.54,49.88,,
S0033,hand tools,20260701,1,7.03,34.75,39.96,15.0,12.03,144.36,15.1,12.4,19.5,0.1,991.22,381.32,hand tools,7502.13
S0034,electrical,20260701,0,54.38,4.22,,,,,,,,,1030.22,309.53,,
S0035,plumbing,20260701,0,221.11,11.34,,,,,,,,,13623.12,2662.8,,
S0036,electrical,20260701,0,21.44,10.07,,,,,,,,,1415.7,254.86,,
S0037,hand tools,20260701,0,70.32,16.37,,,,,,,,,6069.07,1649.15,,
S0038,electrical,20260701,0,66.1,5.41,,,,,,,,,1399.03,675.8,,
S0039,electrical,20260701,1,10.21,5.45,6.27,15.0,3.25,39.0,25.4,15.8,24.0,0.11,368.68,68.39,electrical,6255.72
S0040,plumbing,20260701,0,22.04,19.26,,,,,,,,,2056.56,596.28,,
S0041,fasteners,20260701,0,32.11,1.9,,,,,,,,,459.1,54.69,,
S0042,hand tools,20260701,0,11.66,45.5,,,,,,,,,2311.85,1038.71,,
S0043,chemicals,20260701,0,182.58,10.35,,,,,,,,,10755.65,2292.04,,
S0044,ppe,20260701,0,19.25,2.85,,,,,,,,,177.41,78.7,,
S0045,plumbing,20260701,1,34.23,18.33,21.08,15.0,23.95,287.4,81.0,43.0,77.2,0.29,3311.18,705.54,plumbing,7417.55
S0046,fasteners,20260701,0,53.5,1.25,,,,,,,,,392.4,85.78,,
S0047,hand tools,20260701,0,125.98,25.8,,,,,,,,,10649.68,5155.62,,
S0048,plumbing,20260701,0,14.64,10.47,,,,,,,,,855.04,337.04,,
S0049,hand tools,20260701,0,6.89,31.43,,,,,,,,,1009.94,412.86,,
S0050,plumbing,20260701,0,6.16,18.17,,,,,,,,,515.71,208.44,,
